  8979.000   29  1  1     0.00000   -10.91368    -6.90610  1  1     8837.733  0.016794230     0.00000 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_Fermi, ninitl, ninit1, Epsii, Atom_density, f0_forward
    Energy    left_pol      right_pol       dic(100)   
   -30.000  1.0741342E-04  1.0740977E-04  3.6574901E-09
   -29.900  1.0774104E-04  1.0773710E-04  3.9416930E-09
   -29.800  1.0811631E-04  1.0811206E-04  4.2502527E-09
   -29.700  1.0854481E-04  1.0854022E-04  4.5856425E-09
   -29.600  1.0903356E-04  1.0902861E-04  4.9492345E-09
   -29.500  1.0959070E-04  1.0958536E-04  5.3422550E-09
   -29.400  1.1022630E-04  1.1022054E-04  5.7653411E-09
   -29.300  1.1095210E-04  1.1094588E-04  6.2177111E-09
   -29.200  1.1178239E-04  1.1177570E-04  6.6968800E-09
   -29.100  1.1273483E-04  1.1272763E-04  7.1970543E-09
   -29.000  1.1383165E-04  1.1382394E-04  7.7076854E-09
   -28.900  1.1510093E-04  1.1509272E-04  8.2096505E-09
   -28.800  1.1657821E-04  1.1656954E-04  8.6702458E-09
   -28.700  1.1831003E-04  1.1830099E-04  9.0363666E-09
   -28.600  1.2035798E-04  1.2034876E-04  9.2181957E-09
   -28.500  1.2280438E-04  1.2279531E-04  9.0651313E-09
   -28.400  1.2576659E-04  1.2575827E-04  8.3218597E-09
   -28.300  1.2941043E-04  1.2940389E-04  6.5424362E-09
   -28.200  1.3398104E-04  1.3397811E-04  2.9298939E-09
   -28.100  1.3985919E-04  1.3986320E-04 -4.0084686E-09
   -28.000  1.4766329E-04  1.4768052E-04 -1.7229950E-08
   -27.900  1.5846454E-04  1.5850760E-04 -4.3062702E-08
   -27.800  1.7428367E-04  1.7438022E-04 -9.6544008E-08
   -27.700  1.9937287E-04  1.9959297E-04 -2.2009521E-07
   -27.600  2.4419737E-04  2.4477098E-04 -5.7360946E-07
   -27.500  3.4184125E-04  3.4417384E-04 -2.3325864E-06
   -27.400  7.8122052E-04  9.1896011E-04 -1.3773960E-04
   -27.300  3.3119491E-03  3.3354977E-03 -2.3548636E-05
   -27.200  5.9624688E-02  5.9435790E-02  1.8889783E-04
   -27.100  1.4799052E-03  1.4752780E-03  4.6271894E-06
   -27.000  9.4545149E-03  9.5170293E-03 -6.2514401E-05
   -26.900  8.7740493E-03  8.5967862E-03  1.7726306E-04
   -26.800  7.9674671E-03  7.8599110E-03  1.0755606E-04
   -26.700  5.0585585E-03  5.0406960E-03  1.7862479E-05
   -26.600  5.0228337E-02  4.9114687E-02  1.1136498E-03
   -26.500  5.2272850E-03  5.1392712E-03  8.8013775E-05
   -26.400  1.2173588E-02  1.2433629E-02 -2.6004055E-04
   -26.300  4.5652326E-03  4.7275352E-03 -1.6230258E-04
   -26.200  1.4114079E-03  1.4403364E-03 -2.8928516E-05
   -26.100  1.6744974E-03  1.6548468E-03  1.9650592E-05
   -26.000  4.6603562E-03  4.3543671E-03  3.0598909E-04
   -25.900  2.4914613E-03  2.4728323E-03  1.8628994E-05
   -25.800  1.0501517E-02  1.0514876E-02 -1.3358278E-05
   -25.700  1.0505357E-02  1.0845972E-02 -3.4061566E-04
   -25.600  6.5158681E-03  6.5006520E-03  1.5216075E-05
   -25.500  7.9315656E-03  7.8867076E-03  4.4858024E-05
   -25.400  6.1430829E-03  6.0289386E-03  1.1414430E-04
   -25.300  3.9851494E-02  3.8623223E-02  1.2282701E-03
   -25.200  2.1983311E-02  2.2337353E-02 -3.5404198E-04
   -25.100  5.1762460E-02  5.2560558E-02 -7.9809778E-04
   -25.000  3.7942654E-02  3.7947844E-02 -5.1904447E-06
   -24.900  5.0871480E-02  4.9716838E-02  1.1546421E-03
   -24.800  9.6975736E-03  9.9107114E-03 -2.1313779E-04
   -24.700  1.5370733E-03  1.5422942E-03 -5.2209008E-06
   -24.600  7.4572508E-04  7.4720490E-04 -1.4798131E-06
   -24.500  4.8916135E-04  4.9000689E-04 -8.4553776E-07
   -24.400  3.7059414E-04  3.7123454E-04 -6.4039314E-07
   -24.300  2.9487239E-04  2.9530676E-04 -4.3437980E-07
   -24.200  2.4786207E-04  2.4817780E-04 -3.1573117E-07
   -24.100  2.1673651E-04  2.1698153E-04 -2.4502162E-07
   -24.000  1.9453987E-04  1.9473521E-04 -1.9533976E-07
   -23.900  1.7805728E-04  1.7821616E-04 -1.5888666E-07
   -23.800  1.6544379E-04  1.6557518E-04 -1.3139043E-07
   -23.700  1.5555177E-04  1.5566190E-04 -1.1012201E-07
   -23.600  1.4763967E-04  1.4773307E-04 -9.3396645E-08
   -23.500  1.4120364E-04  1.4128367E-04 -8.0030545E-08
   -23.400  1.3589430E-04  1.3596350E-04 -6.9202162E-08
   -23.300  1.3146171E-04  1.3152203E-04 -6.0320344E-08
   -23.200  1.2772296E-04  1.2777592E-04 -5.2959833E-08
   -23.100  1.2454066E-04  1.2458747E-04 -4.6804315E-08
   -23.000  1.2181114E-04  1.2185275E-04 -4.1610266E-08
   -22.900  1.1945477E-04  1.1949196E-04 -3.7193410E-08
   -22.800  1.1740810E-04  1.1744152E-04 -3.3414056E-08
   -22.700  1.1562175E-04  1.1565191E-04 -3.0159276E-08
   -22.600  1.1405494E-04  1.1408228E-04 -2.7339372E-08
   -22.500  1.1267732E-04  1.1270220E-04 -2.4882457E-08
   -22.400  1.1146229E-04  1.1148503E-04 -2.2733897E-08
   -22.300  1.1038800E-04  1.1040885E-04 -2.0845786E-08
   -22.200  1.0943669E-04  1.0945587E-04 -1.9179951E-08
   -22.100  1.0859357E-04  1.0861127E-04 -1.7705135E-08
   -22.000  1.0784616E-04  1.0786255E-04 -1.6395103E-08
   -21.900  1.0718396E-04  1.0719919E-04 -1.5228373E-08
   -21.800  1.0659799E-04  1.0661217E-04 -1.4186253E-08
   -21.700  1.0608075E-04  1.0609401E-04 -1.3253461E-08
   -21.600  1.0562418E-04  1.0563659E-04 -1.2416106E-08
   -21.500  1.0522525E-04  1.0523691E-04 -1.1663995E-08
   -21.400  1.0487831E-04  1.0488929E-04 -1.0987275E-08
   -21.300  1.0457907E-04  1.0458945E-04 -1.0377812E-08
   -21.200  1.0432406E-04  1.0433389E-04 -9.8287525E-09
   -21.100  1.0411018E-04  1.0411952E-04 -9.3337919E-09
   -21.000  1.0393480E-04  1.0394369E-04 -8.8876760E-09
   -20.900  1.0379557E-04  1.0380406E-04 -8.4858214E-09
   -20.800  1.0369035E-04  1.0369848E-04 -8.1242292E-09
   -20.700  1.0361638E-04  1.0362418E-04 -7.7992164E-09
   -20.600  1.0357460E-04  1.0358211E-04 -7.5083519E-09
   -20.500  1.0356292E-04  1.0357017E-04 -7.2488508E-09
   -20.400  1.0358020E-04  1.0358722E-04 -7.0182939E-09
   -20.300  1.0362560E-04  1.0363241E-04 -6.8146257E-09
   -20.200  1.0369843E-04  1.0370507E-04 -6.6360468E-09
   -20.100  1.0379816E-04  1.0380464E-04 -6.4809461E-09
   -20.000  1.0392445E-04  1.0393080E-04 -6.3479283E-09
   -19.900  1.0407555E-04  1.0408179E-04 -6.2355943E-09
   -19.800  1.0425388E-04  1.0426002E-04 -6.1432291E-09
